Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Actual GP,Prop GP,25+,True_Adj_GAA,True_Adj_Sv%,GSAA
Georges Vezina,19171918,MTL,L,21.0,21.0,12.0,9.0,0.0,0,0,0,84.0,0,3.93,1282.25,1.0,0.0,0.0,0.0,0.0,21.370833333333334,0.9714015151515152,Y,2.07612708369337,,
Clint Benedict,19171918,SEN,L,22.0,22.0,9.0,13.0,0.0,0,0,0,114.0,0,5.11,1337.25,1.0,0.0,0.0,0.0,0.0,22.2875,1.013068181818182,Y,2.699284455392273,,
Hap Holmes,19171918,TAN,L,16.0,16.0,9.0,7.0,0.0,0,0,0,76.0,0,4.73,965.0,0.0,0.0,0.0,0.0,0.0,16.083333333333332,0.731060606060606,Y,2.4990128472762256,,
Art Brooks,19171918,TAN,R,4.0,3.0,2.0,2.0,0.0,0,0,0,23.0,0,6.27,220.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.16666666666666666,N,3.312205668736433,,
Bert Lindsay,19171918,MWN,R,4.0,4.0,1.0,3.0,0.0,0,0,0,35.0,0,8.75,240.0,0.0,0.0,0.0,0.0,0.0,4.0,0.18181818181818182,N,4.622485709961321,,
Sammy Hebert,19171918,TAN,R,2.0,2.0,1.0,0.0,0.0,0,0,0,10.0,0,7.5,80.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0606060606060606,N,3.962130608538275,,
Clint Benedict,19181919,SEN,L,18.0,18.0,12.0,6.0,0,0,0,0,53.0,0,2.85,1114.0,2.0,0.0,0.0,0.0,3.0,18.566666666666666,1.0314814814814814,Y,1.8861302467643002,,
Georges Vezina,19181919,MTL,L,18.0,18.0,10.0,8.0,0,0,0,0,78.0,0,4.27,1096.5,1.0,0.0,1.0,1.0,0.0,18.275,1.0152777777777777,Y,2.826320331164508,,
Bert Lindsay,19181919,TAN,R,16.0,16.0,5.0,11.0,0,0,0,0,83.0,0,5.09,977.5,0.0,0.0,0.0,0.0,0.0,16.291666666666668,0.9050925925925927,Y,3.3687387016833865,,
Sprague Cleghorn,19181919,SEN,L,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.002777777777777778,N,0.0,,
Hap Holmes,19181919,TAN,L,2.0,2.0,0.0,2.0,0,0,0,0,9.0,0,4.5,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1111111111111111,N,2.9784595822994753,,
Clint Benedict,19191920,SEN,L,24.0,24.0,19.0,5.0,0,0,0,0,64.0,0,2.66,1442.8333333333333,5.0,0.0,0.0,0.0,2.0,24.04722222222222,1.0019675925925926,Y,1.4725799133969442,,
Georges Vezina,19191920,MTL,L,24.0,24.0,13.0,11.0,0,0,0,0,113.0,0,4.66,1455.4166666666667,0.0,0.0,0.0,0.0,0.0,24.256944444444446,1.0107060185185186,Y,2.5799838799133985,,
Ivan Mitchell,19191920,TSP,L,16.0,15.0,6.0,7.0,0,0,0,0,60.0,0,4.34,830.0,0.0,0.0,0.0,0.0,0.0,13.833333333333334,0.576388888888889,Y,2.402878035979889,,
Howard Lockhart,19191920,"TSP,QBD",L,8.0,5.0,4.0,3.0,0,0,0,0,36.0,0,5.84,370.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,0.2569444444444445,Y,3.2332960435526346,,
Frank Brophy,19191920,QBD,L,21.0,21.0,3.0,18.0,0,0,0,0,148.0,0,7.11,1249.0833333333333,0.0,0.0,0.0,0.0,0.0,20.818055555555553,0.8674189814814813,Y,3.936335485591339,,
Jake Forbes,19191920,TSP,L,5.0,5.0,2.0,3.0,0,0,0,0,21.0,0,4.2,300.0,0.0,0.0,0.0,0.0,0.0,5.0,0.20833333333333334,N,2.3252383797847407,,
Harry Mummery,19191920,QBD,L,3.0,2.0,1.0,1.0,0,0,0,0,18.0,0,7.63,141.5,0.0,0.0,0.0,0.0,0.0,2.3583333333333334,0.09826388888888889,N,4.224058390977353,,
Jack Darragh,19191920,SEN,R,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.03333333333333333,0.001388888888888889,N,0.0,,
Clint Benedict,19201921,SEN,L,24.0,24.0,14.0,10.0,0,0,0,0,75.0,0,3.08,1461.8333333333333,2.0,0.0,0.0,0.0,0.0,24.363888888888887,1.015162037037037,Y,1.9623482546787847,,
Jake Forbes,19201921,TSP,L,20.0,20.0,13.0,7.0,0,0,0,0,78.0,0,3.83,1221.0833333333333,0.0,0.0,0.0,0.0,0.0,20.351388888888888,0.847974537037037,Y,2.4399570891831663,,
Georges Vezina,19201921,MTL,L,24.0,24.0,13.0,11.0,0,0,0,0,99.0,0,4.12,1441.0,1.0,0.0,0.0,0.0,0.0,24.016666666666666,1.0006944444444443,Y,2.6247418950490244,,
Howard Lockhart,19201921,HAM,L,24.0,24.0,6.0,18.0,0,0,0,0,132.0,0,5.45,1454.25,1.0,0.0,0.0,0.0,0.0,24.2375,1.0098958333333334,Y,3.4723833299706417,,
Ivan Mitchell,19201921,TSP,L,4.0,4.0,2.0,2.0,0,0,0,0,22.0,0,5.5,240.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16666666666666666,N,3.5040447991743355,,
Clint Benedict,19211922,SEN,L,24.0,24.0,14.0,8.0,2,0,0,0,84.0,0,3.34,1507.6666666666667,2.0,0.0,0.0,0.0,0.0,25.12777777777778,1.0469907407407408,Y,2.3172210249220297,,
Georges Vezina,19211922,MTL,L,24.0,24.0,12.0,11.0,1,0,0,0,94.0,0,3.84,1468.5,0.0,0.0,0.0,0.0,2.0,24.475,1.0197916666666667,Y,2.6642443904794613,,
John Ross Roach,19211922,TSP,L,22.0,22.0,11.0,10.0,1,0,0,0,91.0,0,4.07,1340.0,0.0,0.0,0.0,0.0,0.0,22.333333333333332,0.9305555555555555,Y,2.8236260462715004,,
Howard Lockhart,19211922,HAM,L,24.0,24.0,6.0,17.0,0,0,0,0,103.0,0,4.39,1408.1666666666667,0.0,0.0,0.0,0.0,0.0,23.469444444444445,0.9778935185185186,Y,3.045944371872584,,
Ivan Mitchell,19211922,TSP,L,2.0,2.0,2.0,0.0,0,0,0,0,6.0,0,3.0,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,N,2.0814663083395253,,
Harry Mummery,19211922,HAM,L,1.0,0.0,1.0,0.0,0,0,0,0,2.0,0,2.45,49.0,0.0,0.0,0.0,0.0,0.0,0.8166666666666667,0.034027777777777775,N,1.6999148565731028,,
Sprague Cleghorn,19211922,MTL,L,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,0.03333333333333333,0.001388888888888889,N,0.0,,
Clint Benedict,19221923,SEN,L,24.0,24.0,14.0,9.0,1,0,0,0,54.0,0,2.18,1489.0,4.0,0.0,0.0,0.0,2.0,24.816666666666666,1.0340277777777778,Y,1.8665882386010935,,
John Ross Roach,19221923,TSP,L,24.0,24.0,13.0,10.0,1,0,0,0,88.0,0,3.59,1469.0,1.0,0.0,0.0,0.0,0.0,24.483333333333334,1.020138888888889,Y,3.073333357639932,,
Georges Vezina,19221923,MTL,L,24.0,24.0,13.0,9.0,2,0,0,0,61.0,0,2.46,1488.0,2.0,0.0,0.0,0.0,0.0,24.8,1.0333333333333334,Y,2.106122844261635,,
Jake Forbes,19221923,HAM,L,24.0,24.0,6.0,18.0,0,0,0,0,110.0,0,4.49,1470.0,0.0,0.0,0.0,0.0,0.0,24.5,1.0208333333333333,Y,3.8440831488441556,,
Clint Benedict,19231924,SEN,L,22.0,22.0,15.0,7.0,0,0,0,0,45.0,0,1.99,1356.0,3.0,0.0,0.0,0.0,0.0,22.6,0.9416666666666668,Y,2.0919754100721506,,
Georges Vezina,19231924,MTL,L,24.0,24.0,13.0,11.0,0,0,0,0,48.0,0,1.97,1459.0,3.0,0.0,0.0,0.0,0.0,24.316666666666666,1.0131944444444445,Y,2.0708106084591753,,
John Ross Roach,19231924,TSP,L,23.0,23.0,10.0,13.0,0,0,0,0,80.0,0,3.48,1380.0,1.0,0.0,0.0,0.0,0.0,23.0,0.9583333333333334,Y,3.6585152454945433,,
Jake Forbes,19231924,HAM,L,24.0,24.0,9.0,15.0,0,0,0,0,68.0,0,2.75,1483.0,1.0,0.0,0.0,0.0,0.0,24.716666666666665,1.0298611111111111,Y,2.89094115440821,,
Sammy Hebert,19231924,SEN,R,2.0,2.0,1.0,1.0,0,0,0,0,9.0,0,4.5,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,N,4.730726931391579,,
Howard Lockhart,19231924,TSP,L,1.0,1.0,0.0,1.0,0,0,0,0,5.0,0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041666666666666664,N,5.256363257101754,,
Jake Forbes,19241925,HAM,L,30.0,30.0,19.0,10.0,1,0,0,0,60.0,0,1.96,1833.6166666666666,6.0,0.0,0.0,0.0,2.0,30.560277777777777,1.018675925925926,Y,2.1987419009147002,,
John Ross Roach,19241925,TSP,L,30.0,30.0,19.0,11.0,0,0,0,0,84.0,0,2.8,1800.0,1.0,0.0,0.0,0.0,0.0,30.0,1.0,Y,3.141296452714403,,
Alec Connell,19241925,SEN,R,30.0,30.0,17.0,12.0,1,0,0,0,66.0,0,2.14,1852.2833333333333,7.0,0.0,0.0,0.0,2.0,30.871388888888887,1.0290462962962963,Y,2.4009522606820863,,
Georges Vezina,19241925,MTL,L,30.0,30.0,17.0,11.0,2,0,0,0,56.0,0,1.81,1860.0,5.0,0.0,0.0,0.0,0.0,31.0,1.0333333333333334,Y,2.030800100084277,,
Clint Benedict,19241925,MMR,L,30.0,30.0,9.0,19.0,2,0,0,0,65.0,0,2.12,1843.0,2.0,0.0,0.0,0.0,2.0,30.716666666666665,1.0238888888888888,Y,2.3786032181002335,,
Charles Stewart,19241925,BOS,L,21.0,21.0,5.0,16.0,0,0,0,0,65.0,0,3.08,1265.8333333333333,2.0,0.0,0.0,0.0,0.0,21.09722222222222,0.7032407407407407,Y,3.455377683115853,,
Hec Fowler,19241925,BOS,L,7.0,7.0,1.0,6.0,0,0,0,0,42.0,0,6.16,409.0,0.0,0.0,0.0,0.0,0.0,6.816666666666666,0.22722222222222221,N,6.910784159850283,,
King Clancy,19241925,SEN,L,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.03333333333333333,0.0011111111111111111,N,0.0,,
Jesse Spring,19241925,HAM,L,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0011111111111111111,N,0.0,,
Dunc Munro,19241925,MMR,L,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0011111111111111111,N,0.0,,
George Redding,19241925,BOS,L,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,5.45,11.0,0.0,0.0,1.0,1.0,0.0,0.18333333333333332,0.0061111111111111106,N,6.11408330022126,,
Howard Lockhart,19241925,BOS,L,2.0,2.0,0.0,2.0,0,0,0,0,11.0,0,5.5,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,N,6.170403746403292,,
Alec Connell,19251926,SEN,R,36.0,36.0,24.0,8.0,4,0,0,0,42.0,0,1.12,2251.0,15.0,0.0,0.0,0.0,0.0,37.516666666666666,1.0421296296296296,Y,1.3944597922994435,,
Clint Benedict,19251926,MMR,L,36.0,36.0,20.0,11.0,5,0,0,0,73.0,0,1.92,2286.0,6.0,0.0,0.0,0.0,0.0,38.1,1.0583333333333333,Y,2.3906583582014886,,
Roy Worters,19251926,PIR,L,35.0,35.0,18.0,16.0,1,0,0,0,68.0,0,1.9,2145.0,7.0,0.0,0.0,0.0,0.0,35.75,0.9930555555555556,Y,2.3654552448432375,,
Charles Stewart,19251926,BOS,L,35.0,35.0,16.0,14.0,4,0,0,0,80.0,0,2.21,2172.0,6.0,0.0,0.0,0.0,0.0,36.2,1.0055555555555555,Y,2.7515219427650552,,
Jake Forbes,19251926,NYA,L,36.0,36.0,12.0,20.0,4,0,0,0,86.0,0,2.3,2240.0,2.0,0.0,0.0,0.0,0.0,37.333333333333336,1.0370370370370372,Y,2.8633945487502634,,
John Ross Roach,19251926,TSP,L,36.0,36.0,12.0,21.0,3,0,0,0,114.0,0,3.07,2230.0,2.0,0.0,0.0,0.0,0.0,37.166666666666664,1.0324074074074074,Y,3.822382050072384,,
Herb Rheaume,19251926,MTL,L,31.0,31.0,10.0,20.0,1,0,0,0,92.0,0,2.93,1887.0,0.0,0.0,0.0,0.0,0.0,31.45,0.8736111111111111,Y,3.6481763698103524,,
Odie Cleghorn,19251926,PIR,R,1.0,1.0,1.0,0.0,0,0,0,0,2.0,0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,N,2.4900626221034603,,
Moe Roberts,19251926,BOS,R,2.0,1.0,1.0,1.0,0,0,0,0,5.0,0,3.53,85.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,0.03935185185185185,N,4.394989757816867,,
Frenchy Lacroix,19251926,MTL,L,5.0,4.0,1.0,4.0,0,0,0,0,16.0,0,3.43,280.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.12962962962962965,N,4.270528383574921,,
Joe Ironstone,19251926,NYA,R,1.0,0.0,0.0,0.0,0,0,0,0,3.0,0,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.018518518518518517,N,5.602640899732786,,
Georges Vezina,19251926,MTL,L,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.009259259259259259,N,0.0,,
Alec Connell,19261927,SEN,R,44.0,44.0,30.0,10.0,4,0,0,0,69.0,0,1.48,2790.0,13.0,0.0,0.0,0.0,2.0,46.5,1.0568181818181819,Y,2.1579143637144185,,
George Hainsworth,19261927,MTL,L,44.0,44.0,28.0,14.0,2,0,0,0,67.0,0,1.47,2739.0,14.0,0.0,0.0,0.0,0.0,45.65,1.0374999999999999,Y,2.1436397507923934,,
Lorne Chabot,19261927,NYR,L,37.0,36.0,22.0,9.0,5,0,0,0,59.0,0,1.51,2347.0,10.0,0.0,0.0,0.0,0.0,39.11666666666667,0.8890151515151515,Y,2.20193617387477,,
Clint Benedict,19261927,MMR,L,43.0,43.0,20.0,19.0,4,0,0,0,65.0,0,1.42,2747.0,13.0,0.0,0.0,0.0,0.0,45.78333333333333,1.040530303030303,Y,2.070629287836538,,
Hugh Lehman,19261927,CHI,L,44.0,44.0,19.0,22.0,3,0,0,0,116.0,0,2.49,2795.0,5.0,0.0,0.0,0.0,0.0,46.583333333333336,1.0587121212121213,Y,3.630860729148892,,
Jake Forbes,19261927,NYA,L,44.0,44.0,17.0,25.0,2,0,0,0,91.0,0,2.01,2715.0,8.0,0.0,0.0,0.0,0.0,45.25,1.0284090909090908,Y,2.930890065901511,,
Roy Worters,19261927,PIR,L,44.0,44.0,15.0,26.0,3,0,0,0,108.0,0,2.39,2713.0,4.0,0.0,0.0,0.0,0.0,45.21666666666667,1.027651515151515,Y,3.485125253331494,,
John Ross Roach,19261927,TSP,L,44.0,44.0,15.0,24.0,5,0,0,0,94.0,0,2.04,2764.0,4.0,0.0,0.0,0.0,0.0,46.06666666666667,1.046969696969697,Y,2.974661745707539,,
Hal Winkler,19261927,"NYR,BOS",L,31.0,31.0,15.0,13.0,3,0,0,0,53.0,0,1.66,1918.0,6.0,0.0,0.0,0.0,0.0,31.966666666666665,0.7265151515151514,Y,2.420679674223174,,
Hap Holmes,19261927,DCG,L,41.0,41.0,11.0,26.0,4,0,0,0,100.0,0,2.32,2584.0,6.0,0.0,0.0,0.0,0.0,43.06666666666667,0.9787878787878789,Y,3.3828796350009993,,
Charles Stewart,19261927,BOS,L,21.0,21.0,9.0,11.0,1,0,0,0,49.0,0,2.25,1304.0,2.0,0.0,0.0,0.0,0.0,21.733333333333334,0.49393939393939396,Y,3.2806768403658597,,
Herb Stuart,19261927,DCG,L,3.0,3.0,1.0,2.0,0,0,0,0,5.0,0,1.67,180.0,0.0,0.0,0.0,0.0,0.0,3.0,0.06818181818181818,N,2.43532659064052,,
Flat Walsh,19261927,MMR,L,1.0,1.0,0.0,1.0,0,0,0,0,3.0,0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,N,4.374540637873746,,
George Hainsworth,19271928,MTL,L,44.0,44.0,26.0,11.0,7,0,0,0,48.0,0,1.06,2715.116666666667,13.0,0.0,0.0,0.0,0.0,45.25194444444445,1.0284532828282829,Y,1.6016316752059132,,
Clint Benedict,19271928,MMR,L,44.0,44.0,24.0,14.0,6,0,0,0,76.0,0,1.7,2675.5,6.0,0.0,0.0,0.0,0.0,44.59166666666667,1.0134469696969697,Y,2.568496212290558,,
Alec Connell,19271928,SEN,R,44.0,44.0,20.0,14.0,10,0,0,0,57.0,0,1.24,2755.2833333333333,15.0,0.0,0.0,0.0,0.0,45.92138888888889,1.0436679292929294,Y,1.8735869816004498,,
Hal Winkler,19271928,BOS,L,44.0,44.0,20.0,13.0,11,0,0,0,70.0,0,1.52,2758.75,15.0,0.0,0.0,0.0,0.0,45.979166666666664,1.0449810606060606,Y,2.2966105689415675,,
Roy Worters,19271928,PIR,L,44.0,44.0,19.0,17.0,8,0,0,0,76.0,0,1.68,2721.3166666666666,11.0,0.0,0.0,0.0,0.0,45.35527777777778,1.0308017676767678,Y,2.538708118273639,,
Hap Holmes,19271928,DCG,L,44.0,44.0,19.0,19.0,6,0,0,0,79.0,0,1.74,2719.8333333333335,11.0,0.0,0.0,0.0,0.0,45.330555555555556,1.030239898989899,Y,2.629016037302763,,
Lorne Chabot,19271928,NYR,L,44.0,44.0,19.0,16.0,9,0,0,0,79.0,0,1.74,2730.0,11.0,0.0,0.0,0.0,0.0,45.5,1.0340909090909092,Y,2.6293385351468213,,
John Ross Roach,19271928,TOR,L,43.0,43.0,18.0,18.0,7,0,0,0,88.0,0,1.98,2662.1,4.0,0.0,0.0,0.0,0.0,44.36833333333333,1.008371212121212,Y,2.991625876282782,,
Joe Miller,19271928,NYA,L,28.0,28.0,8.0,16.0,4,0,0,0,77.0,0,2.71,1707.7,5.0,0.0,0.0,0.0,0.0,28.461666666666666,0.6468560606060606,Y,4.095058970685606,,
Charlie Gardiner,19271928,CHI,R,40.0,40.0,6.0,32.0,2,0,0,0,114.0,0,2.83,2420.0,3.0,0.0,0.0,0.0,0.0,40.333333333333336,0.9166666666666667,Y,4.2763275314479285,,
Jake Forbes,19271928,NYA,L,16.0,16.0,3.0,11.0,2,0,0,0,51.0,0,3.12,980.0,2.0,0.0,0.0,0.0,0.0,16.333333333333332,0.37121212121212116,Y,4.7142213996340425,,
Hugh Lehman,19271928,CHI,L,4.0,4.0,1.0,2.0,1,0,0,0,20.0,0,4.8,250.0,1.0,0.0,0.0,0.0,0.0,4.166666666666667,0.09469696969696971,N,7.252835524713874,,
Flat Walsh,19271928,MMR,L,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,1.5,40.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.01515151515151515,N,2.266511101473086,,
Normie Himes,19271928,NYA,R,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.0071969696969696965,N,0.0,,
Joe Ironstone,19271928,TOR,R,1.0,1.0,0.0,0.0,1,0,0,0,0.0,0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.026515151515151516,N,0.0,,
Tiny Thompson,19281929,BOS,L,44.0,44.0,26.0,13.0,5,0,0,0,52.0,0,1.15,2710.0,12.0,0.0,0.0,0.0,0.0,45.166666666666664,1.0265151515151514,Y,2.3137213836059987,,
George Hainsworth,19281929,MTL,L,44.0,44.0,22.0,7.0,15,0,0,0,43.0,0,0.92,2800.0,22.0,0.0,0.0,0.0,0.0,46.666666666666664,1.0606060606060606,Y,1.8509574611281145,,
John Ross Roach,19281929,NYR,L,44.0,44.0,21.0,13.0,10,0,0,0,65.0,0,1.41,2760.0,13.0,0.0,0.0,0.0,0.0,46.0,1.0454545454545454,Y,2.83675106252557,,
Lorne Chabot,19281929,TOR,L,43.0,42.0,20.0,16.0,5,0,0,0,64.0,0,1.52,2534.0,10.0,0.0,0.0,0.0,2.0,42.233333333333334,0.9598484848484848,Y,3.058449953604568,,
Dolly Dolson,19281929,DCG,L,44.0,44.0,19.0,16.0,9,0,0,0,63.0,0,1.37,2750.0,10.0,0.0,0.0,0.0,0.0,45.833333333333336,1.0416666666666667,Y,2.756196930591566,,
Roy Worters,19281929,NYA,L,38.0,38.0,16.0,12.0,10,0,0,0,46.0,0,1.15,2390.0,13.0,0.0,0.0,0.0,0.0,39.833333333333336,0.9053030303030304,Y,2.3135464623916704,,
Alec Connell,19281929,SEN,R,44.0,44.0,14.0,17.0,13,0,0,0,67.0,0,1.43,2820.0,7.0,0.0,0.0,0.0,0.0,47.0,1.0681818181818181,Y,2.877364065986429,,
Clint Benedict,19281929,MMR,L,37.0,37.0,14.0,16.0,7,0,0,0,57.0,0,1.49,2300.0,11.0,0.0,0.0,0.0,0.0,38.333333333333336,0.8712121212121212,Y,2.9980125229170853,,
Joe Miller,19281929,PIR,L,44.0,44.0,9.0,27.0,8,0,0,0,80.0,0,1.73,2780.0,11.0,0.0,0.0,0.0,0.0,46.333333333333336,1.053030303030303,Y,3.4809062956359313,,
Charlie Gardiner,19281929,CHI,R,44.0,44.0,7.0,29.0,8,0,0,0,85.0,0,1.85,2758.0,5.0,0.0,0.0,0.0,2.0,45.96666666666667,1.0446969696969697,Y,3.722218208941331,,
Flat Walsh,19281929,"NYA,MMR",L,11.0,11.0,3.0,4.0,4,0,0,0,9.0,0,0.76,710.0,4.0,0.0,0.0,0.0,0.0,11.833333333333334,0.268939393939394,Y,1.5290824621325194,,
Jake Forbes,19281929,NYA,L,1.0,1.0,1.0,0.0,0,0,0,0,3.0,0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,N,6.035962329768264,,
Benny Grant,19281929,TOR,L,5.0,2.0,1.0,2.0,0,0,0,0,5.0,0,1.61,186.0,1.0,0.0,0.0,0.0,0.0,3.1,0.07045454545454545,N,3.23915552041483,,
Normie Himes,19281929,NYA,R,1.0,1.0,0.0,1.0,0,0,0,0,3.0,0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,N,6.035962329768264,,
Tiny Thompson,19291930,BOS,L,44.0,44.0,38.0,5.0,1,0,0,0,98.0,0,2.19,2680.0,3.0,0.0,0.0,0.0,0.0,44.666666666666664,1.0151515151515151,Y,2.1030424330100224,,
Alec Connell,19291930,SEN,R,44.0,44.0,21.0,15.0,8,0,0,0,118.0,0,2.55,2780.0,3.0,0.0,0.0,0.0,0.0,46.333333333333336,1.053030303030303,Y,2.449142070621552,,
Charlie Gardiner,19291930,CHI,R,44.0,44.0,21.0,18.0,5,0,0,0,111.0,0,2.42,2750.0,3.0,0.0,0.0,0.0,0.0,45.833333333333336,1.0416666666666667,Y,2.3240408328471807,,
George Hainsworth,19291930,MTL,L,42.0,42.0,20.0,13.0,9,0,0,0,108.0,0,2.42,2680.0,4.0,0.0,0.0,0.0,0.0,44.666666666666664,1.0151515151515151,Y,2.3242350107598706,,
Flat Walsh,19291930,MMR,L,32.0,29.0,17.0,11.0,4,0,0,0,77.0,0,2.38,1939.0,2.0,0.0,0.0,0.0,0.0,32.31666666666667,0.734469696969697,Y,2.2855830404870554,,
John Ross Roach,19291930,NYR,L,44.0,44.0,17.0,17.0,10,0,0,0,143.0,0,3.1,2770.0,1.0,0.0,0.0,0.0,0.0,46.166666666666664,1.049242424242424,Y,2.9773184053461557,,
Lorne Chabot,19291930,TOR,L,42.0,42.0,16.0,20.0,6,0,0,0,110.0,0,2.54,2600.0,6.0,0.0,0.0,0.0,0.0,43.333333333333336,0.9848484848484849,Y,2.4394538008860818,,
Bill Beveridge,19291930,DCG,L,39.0,39.0,14.0,20.0,5,0,0,0,109.0,0,2.71,2410.0,2.0,0.0,0.0,0.0,0.0,40.166666666666664,0.9128787878787878,Y,2.6024592621889986,,
Roy Worters,19291930,"NYA,MTL,NYA",L,37.0,37.0,12.0,21.0,4,0,0,0,137.0,0,3.53,2330.0,2.0,0.0,0.0,0.0,0.0,38.833333333333336,0.8825757575757577,Y,3.3902627904664566,,
Clint Benedict,19291930,MMR,L,14.0,14.0,5.0,5.0,1,0,0,0,35.0,0,2.95,711.0,0.0,0.0,0.0,0.0,0.0,11.85,0.2693181818181818,Y,2.8329569000511254,,
Joe Miller,19291930,PIR,L,43.0,43.0,5.0,35.0,3,0,0,0,179.0,0,4.08,2630.0,0.0,0.0,0.0,0.0,0.0,43.833333333333336,0.9962121212121212,Y,3.918188542105592,,
Benny Grant,19291930,"TOR,NYA",L,10.0,9.0,4.0,5.0,0,0,0,0,39.0,0,4.11,570.0,0.0,0.0,0.0,0.0,0.0,9.5,0.2159090909090909,N,3.9474168428804433,,
Abbie Cox,19291930,MMR,L,1.0,1.0,1.0,0.0,0,0,0,0,2.0,0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,N,1.920769569847017,,
Dolly Dolson,19291930,DCG,L,5.0,5.0,0.0,4.0,1,0,0,0,24.0,0,4.5,320.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.1212121212121212,N,4.3217315321557885,,
Jake Forbes,19291930,NYA,L,1.0,1.0,0.0,0.0,1,0,0,0,1.0,0,0.86,70.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.026515151515151516,N,0.82607288836919,,
Red Spooner,19291930,PIR,L,1.0,1.0,0.0,1.0,0,0,0,0,6.0,0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,N,5.762308709541051,,
Mickey Murray,19291930,MTL,R,1.0,1.0,0.0,1.0,0,0,0,0,4.0,0,4.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,N,3.841539139694034,,
Tiny Thompson,19301931,BOS,L,44.0,44.0,28.0,10.0,6,0,0,0,90.0,0,1.98,2730.0,3.0,0.0,0.0,0.0,0.0,45.5,1.0340909090909092,Y,2.3631365900374988,,
George Hainsworth,19301931,MTL,L,44.0,44.0,26.0,10.0,8,0,0,0,89.0,0,1.95,2740.0,8.0,0.0,0.0,0.0,0.0,45.666666666666664,1.0378787878787878,Y,2.327289096027372,,
Charlie Gardiner,19301931,CHI,R,44.0,44.0,24.0,17.0,3,0,0,0,78.0,0,1.73,2710.0,12.0,0.0,0.0,0.0,0.0,45.166666666666664,1.0265151515151514,Y,2.064827068115155,,
Lorne Chabot,19301931,TOR,L,37.0,37.0,21.0,8.0,8,0,0,0,80.0,0,2.09,2300.0,6.0,0.0,0.0,0.0,0.0,38.333333333333336,0.8712121212121212,Y,2.4944694388714197,,
John Ross Roach,19301931,NYR,L,44.0,44.0,19.0,16.0,9,0,0,0,87.0,0,1.89,2760.0,7.0,0.0,1.0,1.0,0.0,46.0,1.0454545454545454,Y,2.2555626550370027,,
Roy Worters,19301931,NYA,L,44.0,44.0,18.0,16.0,10,0,0,0,74.0,0,1.61,2760.0,8.0,0.0,0.0,0.0,0.0,46.0,1.0454545454545454,Y,1.921525250427432,,
