Name,Season,Team,GP,GS,Adj. GAA,Adj. Sv%,GSAA,W,L,T,OT,SO,GAA,Sv%,SA,Svs,GA,TOI,G,A,P,PIM
Rogie Vachon,1967-1968,MTL,39,36,2.47,0.911,3.8,21,15,2,0,4,2.48,0.913,1059,967,92,2226.4,0,0,0,2
Denis DeJordy,1967-1968,CHI,50,48,2.7,0.909,2.27,21,14,14,0,4,2.71,0.911,1440,1312,128,2836.72,0,0,0,0
Gerry Cheevers,1967-1968,BOS,47,45,2.83,0.905,-4.05,21,19,6,0,3,2.84,0.907,1337,1212,125,2644.17,0,2,2,8
Wayne Rutledge,1967-1968,LAK,45,41,2.87,0.895,-14.41,21,15,5,0,2,2.88,0.897,1134,1017,117,2440.65,0,0,0,4
Bruce Gamble,1967-1968,TOR,41,34,2.31,0.932,32.06,20,14,2,0,5,2.32,0.934,1294,1209,85,2193.73,0,0,0,2
Les Binkley,1967-1968,PIT,54,54,2.86,0.903,-6.61,20,24,10,0,6,2.87,0.905,1585,1435,150,3139.02,0,0,0,0
Glenn Hall,1967-1968,STL,49,48,2.47,0.91,3.23,18,21,9,0,5,2.48,0.912,1340,1222,118,2851.83,0,0,0,0
Doug Favell,1967-1968,PHI,37,37,2.26,0.929,25.92,16,15,6,0,4,2.27,0.931,1204,1121,83,2190.73,0,0,0,37
Bernie Parent,1967-1968,PHI,38,37,2.48,0.924,19.99,15,17,5,0,4,2.49,0.926,1249,1156,93,2243.85,0,1,1,23
Roy Edwards,1967-1968,DET,41,38,3.49,0.882,-28.3,14,17,5,0,0,3.5,0.884,1091,964,127,2174.63,0,0,0,0
Johnny Bower,1967-1968,TOR,43,40,2.25,0.932,31.35,13,17,8,0,4,2.26,0.934,1275,1191,84,2229.77,0,1,1,14
Charlie Hodge,1967-1968,OAK,58,57,2.86,0.903,-7.1,13,31,13,0,3,2.87,0.905,1668,1510,158,3307.65,0,0,0,4
Eddie Johnston,1967-1968,BOS,28,24,2.87,0.895,-9.13,13,7,4,0,0,2.88,0.897,706,633,73,1520.45,0,0,0,0
Terry Sawchuk,1967-1968,LAK,36,32,3.06,0.889,-16.49,10,17,5,0,2,3.07,0.8909999999999999,912,813,99,1933.73,0,0,0,0
Roger Crozier,1967-1968,DET,34,30,3.29,0.888,-16.66,10,16,4,0,1,3.3,0.89,866,771,95,1728.3,0,0,0,2
Seth Martin,1967-1968,STL,30,26,2.59,0.912,3.56,9,10,7,0,1,2.6,0.914,780,713,67,1548.97,0,1,1,0
Dave Dryden,1967-1968,CHI,27,21,3.26,0.898,-6.76,9,9,2,0,1,3.27,0.9,688,619,69,1265.93,0,0,0,0
Hank Bassen,1967-1968,PIT,25,20,2.86,0.907,-0.03,7,10,3,0,1,2.87,0.909,685,623,62,1295.32,0,0,0,8
Gary Bauman,1967-1968,MNS,26,21,3.47,0.884,-15.65,4,13,5,0,0,3.48,0.8859999999999999,656,581,75,1294.45,0,0,0,2
Gary Smith,1967-1968,OAK,21,17,3.18,0.905,-1.92,2,11,4,0,1,3.19,0.907,642,582,60,1129.8,0,1,1,4
Ed Giacomin,1968-1969,NYR,70,70,2.37,0.911,5.74,38,23,7,0,7,2.56,0.911,1970,1795,175,4109.13,0,0,0,2
Bruce Gamble,1968-1969,TOR,61,59,2.6,0.914,11.21,28,20,11,0,3,2.81,0.914,1877,1716,161,3439.17,0,0,0,2
Gerry Cheevers,1968-1969,BOS,52,52,2.59,0.911,5.28,27,12,13,0,3,2.8,0.911,1638,1493,145,3109.2,0,0,0,14
Rogie Vachon,1968-1969,MTL,36,34,2.65,0.902,-6.16,22,9,3,0,2,2.87,0.902,1001,903,98,2048.7,0,0,0,2
Denis DeJordy,1968-1969,CHI,53,50,2.91,0.907,-1.59,21,22,7,0,2,3.15,0.907,1683,1527,156,2974.85,0,1,1,2
Gary Smith,1968-1969,OAK,54,52,2.74,0.905,-4.97,21,21,7,0,4,2.96,0.905,1559,1411,148,3000.15,0,2,2,7
Glenn Hall,1968-1969,STL,41,40,2.01,0.928,23.9,19,12,8,0,8,2.17,0.928,1187,1102,85,2350.63,0,2,2,20
Gump Worsley,1968-1969,MTL,30,29,2.09,0.92,9.58,19,5,4,0,5,2.26,0.92,802,738,64,1701.97,0,0,0,0
Gerry Desjardins,1968-1969,LAK,61,59,3.0,0.898,-19.73,19,29,9,0,4,3.24,0.898,1845,1656,189,3495.08,0,1,1,6
Jacques Plante,1968-1969,STL,37,35,1.81,0.94,37.62,18,12,6,0,5,1.96,0.94,1173,1103,70,2138.18,0,0,0,2
Roy Edwards,1968-1969,DET,40,34,2.36,0.915,6.78,18,11,6,0,4,2.55,0.915,1044,955,89,2097.95,0,0,0,0
Cesare Maniago,1968-1969,MNS,64,64,3.04,0.905,-7.17,18,34,10,0,1,3.29,0.905,2080,1882,198,3608.07,0,0,0,12
Bernie Parent,1968-1969,PHI,58,56,2.5,0.925,33.32,17,23,16,0,1,2.7,0.925,2009,1858,151,3357.22,0,0,0,8
Eddie Johnston,1968-1969,BOS,24,24,2.86,0.898,-7.76,15,6,3,0,2,3.09,0.898,722,648,74,1439.05,0,1,1,0
Dave Dryden,1968-1969,CHI,30,25,2.97,0.905,-2.48,12,11,2,0,3,3.21,0.905,834,755,79,1474.5,0,1,1,0
Roger Crozier,1968-1969,DET,35,32,3.08,0.896,-11.91,11,15,3,0,0,3.33,0.8959999999999999,971,870,101,1817.52,0,0,0,0
Joe Daley,1968-1969,PIT,29,27,2.96,0.91,1.71,10,13,3,0,2,3.2,0.91,956,870,86,1611.98,0,0,0,2
Les Binkley,1968-1969,PIT,50,48,3.04,0.902,-10.38,10,31,8,0,0,3.29,0.902,1609,1451,158,2878.57,0,0,0,0
Doug Favell,1968-1969,PHI,21,20,3.31,0.903,-3.93,3,12,5,0,1,3.58,0.903,731,660,71,1191.33,0,0,0,4
Tony Esposito,1969-1970,CHI,63,63,2.06,0.928,39.62,38,17,8,0,15,2.17,0.932,1995,1859,136,3759.57,0,2,2,2
Ed Giacomin,1969-1970,NYR,70,70,2.24,0.912,7.86,35,21,14,0,6,2.36,0.916,1941,1778,163,4140.5,0,2,2,2
Rogie Vachon,1969-1970,MTL,64,64,2.51,0.913,10.45,31,18,12,0,4,2.64,0.917,1959,1797,162,3685.93,0,0,0,0
Gerry Cheevers,1969-1970,BOS,41,40,2.58,0.915,9.69,24,8,8,0,4,2.72,0.919,1337,1229,108,2383.88,0,0,0,4
Roy Edwards,1969-1970,DET,47,43,2.47,0.911,4.07,24,15,6,0,2,2.6,0.915,1364,1248,116,2680.22,0,1,1,0
Bruce Gamble,1969-1970,TOR,52,51,2.91,0.911,5.8,19,24,9,0,5,3.06,0.915,1838,1682,156,3054.0,0,1,1,0
Gary Smith,1969-1970,OAK,65,65,2.96,0.909,1.3,19,34,12,0,2,3.12,0.913,2230,2035,195,3755.85,0,1,1,18
Jacques Plante,1969-1970,STL,32,32,2.08,0.914,4.92,18,9,5,0,5,2.19,0.918,817,750,67,1837.7,0,2,2,0
Roger Crozier,1969-1970,DET,34,33,2.52,0.916,8.11,16,6,9,0,0,2.65,0.92,1035,952,83,1876.45,0,0,0,0
Eddie Johnston,1969-1970,BOS,37,36,2.83,0.902,-6.68,16,9,11,0,3,2.98,0.906,1151,1043,108,2173.57,0,2,2,2
Al Smith,1969-1970,PIT,46,43,2.88,0.895,-16.06,15,20,8,0,2,3.03,0.899,1283,1154,129,2553.73,0,0,0,20
Bernie Parent,1969-1970,PHI,62,62,2.66,0.917,19.05,13,29,20,0,3,2.8,0.921,2159,1988,171,3668.32,0,3,3,14
Ernie Wakely,1969-1970,STL,30,25,2.0,0.926,14.45,12,9,4,0,4,2.11,0.93,823,765,58,1649.57,0,0,0,0
Gerry Desjardins,1969-1970,"LAK,CHI",47,46,3.54,0.888,-31.35,11,29,5,0,3,3.73,0.892,1541,1374,167,2689.05,0,1,1,14
Marv Edwards,1969-1970,TOR,25,24,3.1,0.906,-1.82,10,9,4,0,1,3.26,0.91,854,777,77,1419.02,0,1,1,24
Les Binkley,1969-1970,PIT,27,25,3.05,0.882,-18.08,10,13,1,0,3,3.21,0.8859999999999999,692,613,79,1475.85,0,1,1,0
Cesare Maniago,1969-1970,MNS,50,48,3.22,0.904,-6.57,9,24,16,0,2,3.39,0.908,1777,1614,163,2886.08,0,0,0,0
Denis DeJordy,1969-1970,"CHI,LAK",32,29,2.92,0.901,-6.81,8,16,5,0,0,3.07,0.905,911,824,87,1702.22,0,0,0,0
Tony Esposito,1970-1971,CHI,57,54,2.0,0.924,24.36,35,14,7,0,6,2.27,0.919,1554,1428,126,3323.38,0,1,1,4
Eddie Johnston,1970-1971,BOS,38,38,2.23,0.919,11.4,30,6,2,0,4,2.53,0.914,1110,1014,96,2277.32,0,1,1,6
Ed Giacomin,1970-1971,NYR,45,44,1.91,0.927,22.56,27,10,7,0,8,2.16,0.922,1215,1120,95,2637.82,0,0,0,4
Gerry Cheevers,1970-1971,BOS,40,40,2.41,0.923,19.3,27,8,5,0,3,2.73,0.918,1326,1217,109,2397.27,0,0,0,4
Jacques Plante,1970-1971,TOR,40,40,1.67,0.949,52.49,24,11,4,0,4,1.89,0.944,1297,1224,73,2323.07,0,0,0,2
Rogie Vachon,1970-1971,MTL,47,45,2.34,0.919,14.56,23,12,9,0,2,2.65,0.914,1370,1252,118,2674.5,0,0,0,0
Gilles Villemure,1970-1971,NYR,34,34,2.03,0.924,15.47,22,8,4,0,4,2.3,0.919,966,888,78,2036.35,0,0,0,0
Ernie Wakely,1970-1971,STL,51,45,2.46,0.907,-1.8,20,14,11,0,3,2.79,0.902,1356,1223,133,2858.17,0,1,1,0
Cesare Maniago,1970-1971,MNS,40,40,2.38,0.919,13.75,19,15,6,0,5,2.7,0.914,1248,1141,107,2378.28,0,1,1,2
Gary Smith,1970-1971,CGS,71,69,3.41,0.89,-40.62,19,48,4,0,2,3.86,0.885,2226,1970,256,3974.67,0,1,1,6
Denis DeJordy,1970-1971,LAK,60,59,3.36,0.893,-28.52,18,29,11,0,1,3.81,0.888,1917,1703,214,3370.03,0,0,0,0
Doug Favell,1970-1971,PHI,44,41,2.36,0.92,15.36,16,15,9,0,2,2.67,0.915,1275,1167,108,2427.92,0,1,1,9
Bernie Parent,1970-1971,"PHI,TOR",48,43,2.41,0.918,13.85,16,19,9,0,2,2.73,0.913,1373,1254,119,2617.38,0,2,2,5
Charlie Hodge,1970-1971,VAN,35,34,3.02,0.898,-10.89,15,13,5,0,0,3.42,0.893,1045,933,112,1964.87,0,0,0,0
Glenn Hall,1970-1971,STL,32,32,2.14,0.923,12.89,13,11,8,0,2,2.42,0.918,867,796,71,1759.73,0,1,1,0
Phil Myre,1970-1971,MTL,30,28,2.75,0.91,1.14,13,11,4,0,1,3.12,0.905,911,824,87,1674.55,0,1,1,17
Gerry Desjardins,1970-1971,CHI,22,22,2.14,0.924,9.34,12,6,2,0,0,2.42,0.919,603,554,49,1215.1,0,0,0,6
Joe Daley,1970-1971,BUF,38,30,3.3,0.9,-9.8,12,16,8,0,1,3.74,0.895,1232,1103,129,2068.75,0,1,1,12
Les Binkley,1970-1971,PIT,34,33,2.52,0.905,-2.89,11,11,10,0,2,2.86,0.9,890,801,89,1866.17,0,0,0,0
Roy Edwards,1970-1971,DET,37,35,3.0,0.898,-11.7,11,19,7,0,0,3.4,0.893,1109,990,119,2098.83,0,0,0,2
Roger Crozier,1970-1971,BUF,44,42,3.26,0.905,-3.99,9,20,7,0,1,3.69,0.9,1354,1219,135,2194.82,0,0,0,0
Al Smith,1970-1971,PIT,45,40,2.74,0.903,-6.47,9,22,9,0,2,3.11,0.898,1256,1128,128,2470.75,0,0,0,26
Bruce Gamble,1970-1971,"TOR,PHI",34,31,3.27,0.894,-15.6,9,20,3,0,2,3.71,0.889,1079,959,120,1938.55,0,0,0,0
Jack Norris,1970-1971,LAK,25,19,3.45,0.893,-11.27,7,11,2,0,0,3.91,0.888,762,677,85,1304.75,0,0,0,0
Jim Rutherford,1970-1971,DET,29,27,3.33,0.881,-20.37,7,15,3,0,1,3.77,0.8759999999999999,761,667,94,1494.5,0,0,0,0
Gump Worsley,1970-1971,MNS,24,24,2.21,0.925,12.08,4,10,8,0,0,2.5,0.92,714,657,57,1366.77,0,0,0,10
Dunc Wilson,1970-1971,VAN,35,27,3.79,0.886,-24.28,3,25,2,0,0,4.3,0.8809999999999999,1072,944,128,1784.38,0,0,0,18
Ken Dryden,1971-1972,MTL,64,64,2.02,0.935,55.72,39,8,15,0,8,2.24,0.93,2030,1888,142,3797.8,0,3,3,4
Tony Esposito,1971-1972,CHI,48,44,1.6,0.939,38.88,31,10,6,0,9,1.77,0.934,1241,1159,82,2778.32,0,1,1,2
