Name,Season,Team,GP,GS,Adj. GAA,Adj. Sv%,GSAA,W,L,T,OT,SO,GAA,Sv%,SA,Svs,GA,TOI,G,A,P,PIM
Semyon Varlamov,2012-2013,COL,35,33,3.28,0.899,-9.31,11,21,0,3,3,3.02,0.903,1007,909,98,1949.65,0,1,1,0
Anders Lindback,2012-2013,TBL,24,21,3.15,0.898,-6.45,10,10,0,1,0,2.9,0.902,642,579,63,1304.18,0,1,1,0
Jonathan Bernier,2012-2013,LAK,14,12,2.03,0.918,2.95,9,3,0,1,1,1.87,0.922,306,282,24,768.35,0,1,1,0
Anton Khudobin,2012-2013,BOS,14,14,2.52,0.916,3.17,9,4,0,1,1,2.32,0.92,388,357,31,803.0,0,0,0,4
Cam Ward,2012-2013,CAR,17,16,3.08,0.904,-1.99,9,6,0,1,0,2.84,0.908,477,433,44,929.45,0,0,0,0
Roberto Luongo,2012-2013,VAN,20,18,2.78,0.903,-2.47,9,6,0,3,2,2.56,0.907,551,500,51,1196.92,0,0,0,0
Jake Allen,2012-2013,STL,15,13,2.67,0.901,-2.53,9,4,0,0,1,2.46,0.905,346,313,33,803.88,0,0,0,0
Joey MacDonald,2012-2013,CGY,21,17,3.11,0.898,-5.5,8,9,0,1,0,2.87,0.902,562,507,55,1148.47,0,0,0,0
Jacob Markstrom,2012-2013,FLA,23,23,3.49,0.897,-7.67,8,14,0,1,0,3.22,0.901,685,617,68,1265.75,0,0,0,0
Miikka Kiprusoff,2012-2013,CGY,24,24,3.73,0.878,-19.75,8,14,0,2,0,3.44,0.882,650,573,77,1344.08,0,1,1,0
Steve Mason,2012-2013,"CBJ,PHI",20,17,2.81,0.912,2.41,7,8,0,1,0,2.59,0.916,561,514,47,1090.15,0,1,1,0
Ben Scrivens,2012-2013,TOR,20,17,2.92,0.911,1.74,7,9,0,0,2,2.69,0.915,542,496,46,1024.85,0,0,0,6
Dan Ellis,2012-2013,CAR,19,16,3.39,0.902,-3.12,6,8,0,2,1,3.13,0.906,555,503,52,997.07,0,2,2,0
Jaroslav Halak,2012-2013,STL,16,15,2.32,0.895,-3.81,6,5,0,1,3,2.14,0.899,286,257,29,812.58,0,1,1,0
